gesture,ax,ay,az,gx,gy,gz
basket,"[422, -556, -1784, -4829, -5527, -5527, -5527, -5527, -1942, -1942, -2076, -2076, -2157, -2184, -2083, -1889, -1639, -1434, -534, -485, -484, -345, -273, -85, -103, -176, -172, -644, -1501, -4642, -5121, -5121, -289, -118, -136, -152, 129, 381, 272, 376, 322, 374, 337, 506, 628, 660, 915, 810, 603, 526, -376, -1040, -1644, -1874, -2370, -1988, -2515, -3155, -2997, -1378]","[-2094, -2377, -2205, -387, 2545, 2545, 2545, 2545, 1848, 1848, 1719, 1719, 2084, 1685, 1242, 857, 613, 448, -26, -111, -193, -457, -1044, -1712, -1979, -2080, -2074, -1957, -1740, -1130, 2064, 2064, 675, 1717, 1011, 348, 124, 413, 436, 208, -29, -102, -235, -278, -302, -419, -439, -500, -518, -663, -501, 228, 568, 753, 1677, 1319, 598, 744, 1699, 1516]","[-3191, -2265, -2335, -479, 1249, 1249, 1249, 1249, 2452, 2452, 1728, 1728, 650, 84, -293, -313, -441, -715, -747, -365, -582, -1075, -1678, -2512, -2618, -2585, -2655, -2598, -2211, -624, 2544, 2544, 1838, 1406, 1130, 987, 753, 600, 522, 541, 368, 295, 189, -6, -194, -140, -234, -262, -214, -204, -62, 328, 332, 13, -255, -36, -632, -1147, -1123, -1256]","[-3605, -8223, -7267, 372, 15346, 15346, 15346, 15346, 5191, 5191, 6123, 6123, -1547, -13466, -17313, -15489, -12550, -14531, -16916, -14261, -13631, -11215, -6640, -1358, 2847, 2317, -1747, -9237, -14819, 1, 1416, 1416, 13153, 22965, 389, 1129, 12038, 16521, 6534, 245, 2632, 5442, 4423, 5806, 7547, 6349, 4789, 3305, 842, 497, 14838, 26798, 26123, 32639, -30332, 18459, 16606, -15536, -17326, 12973]","[-13710, -28907, -15536, -15536, -15536, -15536, -15536, -15536, -7502, -7502, -28597, -28597, -29119, 30098, 26342, 24019, 24953, 24677, -30636, -23389, -26624, -28484, -28656, -18530, -3807, 9147, 23578, -20932, -15536, -15536, -15536, -15536, 3672, -4428, -9082, -13612, -15616, -13051, -7791, -6498, -5355, -1828, -2548, -4510, -3500, -967, -721, 4498, 8447, 19347, 30742, -30996, 30410, 20026, 13029, 6791, 4695, -238, -19307, -29457]","[-3439, -31878, 15535, 15535, -30278, -30278, -30278, -30278, 11474, 11474, 20624, 20624, -29819, -26512, -23946, -22505, -21480, -19972, -27539, 31620, 25949, 22518, 18988, 10818, -1045, -11897, -23900, 28019, 16206, 15535, 29801, 29801, -6320, 6810, 14830, 16525, 17293, 17218, 16664, 15041, 14491, 14157, 11270, 7913, 5615, 1698, -5890, -10661, -17020, -30516, 20480, 15535, 15535, 15535, 18636, 19067, 26574, -28913, -14604, -11333]"
reload,"[-2671, -3167, -2349, -162, 1689, 2452, 0, 1633, 1636, 1206, 1114, 973, 597, 308, -386, -1207, -2150, -1900, -295, 509, 144, -353, -395, -33, 75, 89, 11, -16, -11, 2, 31, 20, 19, 36, 25, 33, 30, 29, 52, 53, 62, 71, 58, 55, 50, 66, 76, 80, 88, 98, 85, 64, 65, 100, 95, 86, 83, 81, 80, 89]","[515, 745, -434, 32, 219, -1015, 0, -390, 143, 83, 205, 73, 22, -278, -428, 205, 1026, 1023, 1465, 1819, 1547, 1275, 1060, 888, 1045, 1166, 1037, 1044, 1089, 1006, 925, 922, 939, 916, 931, 923, 888, 949, 898, 934, 1004, 958, 894, 898, 929, 956, 933, 928, 992, 942, 918, 941, 959, 953, 938, 940, 907, 931, 924, 913]","[-136, 796, 671, 996, 1037, 1741, 0, 1711, 363, 740, 1143, 1170, 1053, 570, 279, 229, 240, -36, -1140, -1167, -302, 624, 584, -67, -348, -411, -250, -172, -175, -269, -305, -245, -238, -240, -237, -257, -242, -223, -218, -220, -229, -254, -272, -247, -230, -235, -260, -274, -267, -288, -269, -225, -225, -280, -282, -272, -272, -268, -274, -294]","[15535, -28995, -25762, -2996, -8938, 7669, 0, -3390, -16074, 3846, 5342, 2710, 3752, -2374, 16312, -28420, -30381, -27785, -15536, -23271, 19977, 4322, -6213, -5238, 19, 2500, 4228, 2185, -3035, -4495, -689, 1281, 784, 148, -282, -1214, 395, 62, -73, 1480, 236, -695, 544, 862, 766, 682, 839, 637, 117, 518, 820, 411, 173, 59, 486, -68, 527, 959, 148, 289]","[13428, 9495, 6527, 3643, 5371, 4646, 0, -2345, -11236, -3913, -5735, -9210, -13515, -11777, -2865, 854, 10174, 1957, -8223, 115, 10646, 15044, -442, -3833, -2549, -1539, 1199, 337, -399, -651, -334, -76, -119, -196, -129, 213, 251, 389, 305, -170, -99, -323, 18, 268, 384, -164, 134, 177, 82, 256, 666, 541, -105, -93, 186, 131, -65, -86, -273, -163]","[14444, 20001, 16031, 13171, 859, 1434, 0, -11000, -6884, 1716, 1535, 2754, 1411, -7521, -11403, -17719, -25304, -19156, -1742, 4760, 917, -785, -764, -2623, -2597, 205, 1739, 242, -875, -378, 996, 1506, 1126, 988, 694, 302, 883, 730, 323, 383, 117, 854, 1251, 398, -122, 38, 9, -415, -213, 706, 509, 32, 41, 53, 125, -1, 146, 137, -77, -199]"
bowling,"[-3059, -4342, -5347, -6415, -7409, -7848, -7848, -7848, -6843, -5030, -3447, -2555, -1637, -878, -485, -174, -57, 146, 170, 90, 69, -217, -532, -895, -1118, -1696, -2113, -2627, -3260, -4378, -5649, -7622, -7848, -7848, -7848, -5707, -3936, -3147, -2038, -1277, -583, -322, -70, 54, 111, 150, 179, 271, 390, 209, 401, 330, 359, 493, 416, 272, 126, -27, -62, -176]","[-536, -299, -333, -640, -486, -138, -89, 313, -291, -146, -96, -519, -753, -813, -567, -459, -555, -649, -697, -749, -821, -651, -267, -29, -49, -161, -168, 107, 65, -177, 138, -19, 242, 444, -35, -115, -740, -144, -126, 45, -2, -50, -87, -64, 0, 134, 124, 82, 246, 144, -7, 159, 189, 363, 508, 230, 515, 969, 769, 789]","[807, -164, -1135, -1750, -2368, -2804, -3061, -3795, -3980, -3279, -2568, -2157, -1703, -1234, -1013, -860, -765, -825, -804, -793, -877, -905, -898, -923, -917, -975, -927, -1189, -1662, -2251, -3714, -4999, -5907, -5882, -5195, -3689, -2882, -1092, -221, 15, 1, 240, 282, 292, 378, 360, 382, 353, 336, 309, 225, 129, 117, -277, -403, -317, -429, -597, -651, -565]","[-2403, -6740, -1818, 8069, 16777, 16045, 18095, 26082, 28133, -32100, 27300, 22066, 11006, 1750, -743, -3779, -4510, -2731, -546, -894, 1344, 5822, 5523, -175, -7721, -8766, -6915, -3346, -8339, -7130, 489, 910, 11455, 9735, 18829, 11491, 4806, 2468, -4965, -7435, -9105, -6855, -5432, -3769, -648, -56, -1695, -1527, -3271, -6907, -1617, 2058, 660, 2549, -3904, -3485, 3604, -2548, -10145, -11986]","[25064, 15535, 15535, 15535, 15535, 15535, 15535, 15535, 15535, 15535, 24698, 28667, -30506, -25438, -23125, -22031, -21423, -18112, -11662, -7435, -1678, 5894, 11835, 18198, 23972, 31905, -29908, -27788, -23810, -20111, -15536, -15536, -15536, -15536, -15536, -15536, -15536, -15536, 31717, 17999, 12421, 10908, 7576, 8235, 5635, 2673, 9, -4147, -6578, -8262, -12463, -14900, -17633, -21874, -19388, -18849, -21700, -24341, -28641, -26804]","[-9953, -16397, -19850, -21436, -21546, -20976, -19768, -8684, 13190, 18086, 22878, 29212, 26747, 18568, 14342, 13139, 12918, 11578, 8128, 3167, -2798, -10629, -16753, -18323, -19891, -21381, -23154, -21842, -22057, -20062, -21262, -23599, -23664, -22138, -15717, -14882, -19707, -24507, -19670, -14522, -10029, -5822, -5131, -6065, -4774, -4425, -4541, -4271, -5088, -6433, -4298, -4661, -6514, -6228, -10136, -14436, -15469, -16281, -17732, -22534]"
volley,"[-4382, -1103, -654, -455, -460, -427, -405, -378, -298, -329, -516, -658, -891, -1347, -1762, -2152, -2603, -3006, -3009, -2954, -2527, -2455, -1433, -1318, -2492, -3811, -5365, -6191, -6323, -5932, -5483, -4869, -3988, -2976, -2329, -1289, -942, -665, -890, -1211, -1737, -2180, -2881, -3252, -3781, -3879, -3827, -2813, -2493, -1979, -1512, -1335, -1299, -1176, -1030, -1050, -905, -992, -1041, -1033]","[4686, -309, 1268, 958, 575, 643, 304, 46, -51, -424, -944, -937, -1033, -1257, -694, -412, -6, 385, 935, 1141, 1249, 2293, 2187, 3521, 3313, 2673, 2452, 1663, 634, 615, 177, -337, -934, -944, -1947, -2020, -2940, -2695, -2561, -2038, -1342, -907, -413, 488, 1028, 1744, 2025, 2645, 2438, 2158, 1560, 1222, 964, 698, 704, 477, 267, 253, 224, 152]","[7848, 1528, -182, -1010, -332, -313, -275, -94, 55, 195, 398, 468, 453, 403, 181, -19, -264, -560, -882, -837, -712, -1158, -1817, -2487, -2452, -2670, -2316, -2300, -2185, -1577, -842, -468, 266, 597, 1427, 1533, 1866, 1854, 1960, 1215, 792, 148, -523, -1157, -1361, -1934, -2528, -2455, -2009, -1909, -1498, -985, -743, -771, -658, -354, -352, -222, -115, -135]","[10666, 8592, -2349, 987, 6389, 2870, 198, -553, -1223, -3405, -1538, 843, -726, -2049, 1135, -485, 1403, 1249, 1872, -305, 1475, 10365, 18800, 25794, 10571, -4461, -7782, -9250, -7280, -1440, -6276, -7277, 1060, -4420, -7147, -6840, -7309, -453, 4542, 8128, 5255, 3302, 5668, 6007, 4284, 4098, 5679, 4281, 2813, -764, -2027, -128, -1655, -5642, -4899, -9340, -9836, -6663, -8059, -8912]","[15535, -16440, 8957, 10425, 10956, 4248, 2362, 5101, 2189, 1676, -1989, -4335, -7496, -9157, -11899, -11246, -13077, -13867, -13582, -11130, -10925, -12547, -12630, 2288, 11603, 25545, 32631, -25156, -27091, -23276, -28330, -27468, 31003, 32149, 21524, 15385, 6228, -294, -7972, -13946, -20592, -24738, -27636, -30668, -27430, -30657, -30826, -23348, -19412, -13902, -7002, -2114, 115, 424, 4213, 4403, 4757, 4664, 2261, -1470]","[17925, 9974, 1796, 11673, 13818, 10683, 9550, 7121, 3288, 1188, -3976, -9421, -12114, -19627, -24765, -27208, -31713, 31279, 31231, -30358, -31282, -19536, -5587, 4339, 21816, 24416, -30068, -21213, -19769, -18364, -18086, -20424, -25045, -31699, 23154, 18092, 8613, -1504, -8499, -14947, -23461, -30112, 29351, 26995, 23926, 23973, 28254, -30310, -24059, -19447, -15660, -13979, -11383, -7637, -3398, 59, 939, 3540, 4867, 5842]"
basket 2,"[-722, -1160, -1786, -5976, -5802, -4505, -4505, -4505, -4505, -4195, -4487, -3995, -3673, -3455, -3279, -2553, -1942, -1366, -1137, -995, -951, -613, -725, -868, -789, -2163, -5414, -6854, -4250, -1925, -256, 164, 83, 884, 535, 45, 33, -112, -171, -93, -64, 45, -9, 97, -167, -412, -1095, -1817, -2579, -2802, -2847, -3682, -3574, -2176, -1417, -1561, -1305, -1218, -1135, -1213]","[-1896, -2083, -2110, -431, 2307, 1816, 1816, 1816, 1816, 2122, 2258, 2012, 1681, 933, 229, -187, -85, -125, -197, -560, -1415, -2100, -2182, -2146, -1963, -1724, -1311, 158, 1501, 1956, 1069, 433, 102, -519, -364, 121, 279, 230, 155, 107, -64, -124, -211, -245, -308, -307, -10, 408, 911, 1110, 686, 563, 1133, 1458, 1793, 1360, 1434, 963, 341, -76]","[-2804, -2927, -2746, -1577, 1062, 2117, 2117, 2117, 2117, 1595, 985, -144, -765, -1203, -1408, -1063, -1035, -1112, -1123, -1327, -2013, -2856, -2914, -3030, -2711, -1959, -2298, -891, 2865, 2241, 557, 266, 274, 286, 254, 420, 504, 514, 479, 375, 226, 201, 70, -44, -134, -252, -318, -348, -753, -727, -823, -1006, -826, -1060, -999, -563, 123, 219, -309, -599]","[-12080, -10571, -6506, 9424, 1945, 5018, 5018, 5018, 5018, 1988, -7005, -14041, -21990, -27880, -25037, -19483, -12633, -6158, -1832, -1709, -4170, -1403, 1264, -1774, -2627, -3692, 14230, 14963, -1023, -6108, -8221, -8342, -11966, -6985, 9389, 10609, 2032, -848, -804, -389, 94, 2568, 5911, 10469, 16829, 25388, 32448, -25829, -24524, -31209, 32326, -21181, 30935, 14508, 10449, 29097, 25104, 112, -8781, -6338]","[-4609, -22881, -15536, -15536, -15536, -15703, -15703, -15703, -15703, -13519, 28385, 15535, 15535, 15535, 15535, 15535, 15535, 18878, 30178, -27571, -23822, -11372, 8787, 26160, -15536, -15536, -15536, -15536, -15536, -9807, -29834, -26865, -16873, -6471, 8317, 16101, 15114, 13199, 7998, 2746, 558, 2137, 3398, 6358, 13028, 16179, 29079, -32427, 27987, 19450, 14052, 9416, -8735, -13356, 3901, 28447, 18581, 3657, -5984, -10644]","[1379, -27497, 15535, 15535, 26935, -16389, -16389, -16389, -16389, 22656, 31232, -27196, -19580, -15536, -15536, -15846, -21034, -27459, -32763, 32383, 29577, 16338, -4173, -19624, 28157, 15535, 15535, 15535, 15535, -11583, 11731, 17796, 15454, 15703, 14955, 10321, 7170, 8062, 12881, 15686, 16905, 15367, 10934, 4918, -1886, -10310, -23737, -32746, 28853, 29163, -28855, -24181, -27065, 32183, -19803, 445, 8813, 16222, 20905, 21526]"
rainbomb,"[-2063, -2287, -2077, -2519, -3053, -3618, -1946, -1277, -1277, -1277, -154, -61, 320, 0, 1055, 410, -137, -526, -848, -802, -617, -382, -246, -150, -337, -1189, -3913, -6567, -7711, -6296, -1572, 518, -250, -678, -127, -50, -132, -50, -294, -562, -566, -462, -314, -118, -55, 94, 79, 178, 369, -199, -336, -864, -1711, -1720, -2414, -2809, -2957, -2676, -1670, -990]","[2786, 4569, 3919, 3700, 2894, 2689, 2278, 692, 692, 692, -684, -582, -412, 0, -122, -407, -918, -1312, -1716, -1671, -1192, -1042, -940, -489, -461, -603, -1265, -10, 4280, 1192, 1431, 1753, -589, 1146, 1400, 832, 1349, 1312, 831, 899, 682, 373, 167, 45, -187, -268, -103, -186, -302, -387, -10, 265, 455, 796, 679, 631, 563, 629, 711, 613]","[3472, 3525, 1894, 291, -1374, -2426, -3184, -3171, -3171, -3171, -2583, -1490, -739, 0, -480, -890, -1845, -2627, -2577, -2286, -2088, -2344, -3060, -3631, -3602, -3390, -2788, -2248, 688, 5274, 2261, 127, 2127, 3609, 2583, 1842, 1282, 935, 938, 924, 624, 443, 228, 211, 80, 62, 51, -92, -161, -114, -110, 22, -289, -639, -831, -1111, -1246, -1200, -1501, -1340]","[-9831, -14474, -31292, 15535, 15535, 15535, 16232, 21877, 21877, 21877, -23129, -20764, -20616, 0, -15746, -12573, -6259, -991, 4496, 16006, 22721, 28521, 32604, 22563, 12210, -1077, 6071, -15536, 30677, 23615, -15536, -7995, -11922, 14023, 2943, 7615, 8061, -4792, -2462, 1406, 1796, 7896, 11580, 6263, 251, 3640, 4452, -1709, -271, 7432, 14723, 19302, 31554, -24784, -18353, -16299, -16892, -26673, 22977, 8317]","[4629, -22069, 25821, 20203, 15535, 15535, 22026, -22869, -22869, -22869, 19066, 29879, 23274, 0, 3595, -11015, -20760, -15620, -7708, -7893, -11099, -16734, -19942, -11116, 5111, 32705, -15536, -15536, -15536, -16756, -12823, -13925, 31672, 13917, -4409, -2163, -6179, -2734, -50, -2314, -3859, 109, 4426, 7141, 7512, 9135, 6222, 4033, 7805, 13614, 14343, 22798, 20903, 14235, 9596, -5114, -18564, -30965, -31827, -13731]","[1202, 16927, 28438, 31994, 27677, 27961, -29056, 32093, 32093, 32093, -872, -3529, -5122, 0, 5767, 13414, 16603, 17313, 10322, -3010, -12508, -15022, -19051, -22408, -26190, 23117, 15535, 15535, 15535, 16444, 7209, 7243, -15906, -10898, -2635, -2516, -2519, 3869, 7791, 11334, 16895, 18170, 17177, 13229, 5171, -1188, -5511, -10271, -17174, -24691, 30135, 22798, 22124, 26744, -29042, -22324, -14043, -7402, -5790, -11123]"
shield,"[-2024, -2719, -3111, -3502, -3201, -2708, -2708, -2708, -851, -851, -166, 150, 180, -26, -364, -795, -981, -1166, -1443, -1663, -1896, -2521, -3591, -3673, -4065, -2928, -2054, -1223, -736, -736, -1154, -1120, -975, -907, -897, -833, -788, -831, -906, -935, -935, -1037, -1012, -976, -975, -985, -927, -938, -951, -961, -952, -924, -912, -904, -921, -930, -929, -919, -914, -908]","[2633, 2300, 1950, 638, -693, -705, -705, -705, -544, -544, 717, 921, 1055, 694, 180, -218, -570, -684, -515, -536, 52, 58, -332, 1468, 1818, 1131, 1240, 1543, 1146, 1146, 473, 469, 316, 189, 198, 228, 297, 390, 423, 379, 379, 291, 251, 165, 151, 200, 187, 115, 149, 257, 254, 206, 183, 168, 175, 211, 236, 323, 347, 328]","[-2895, -3533, -3695, -2716, -1551, -540, -540, -540, 420, 420, 857, 656, 610, 670, 733, 888, 448, -9, -316, -973, -1614, -1263, -2439, -3314, -2144, -2119, -1855, -1455, -1175, -1175, -352, -88, -77, -141, -192, -266, -322, -283, -199, -145, -145, -79, -115, -138, -158, -177, -195, -175, -141, -74, -88, -121, -149, -164, -148, -136, -143, -142, -138, -153]","[2108, 1161, 550, -11722, -13899, -15089, -15089, -15089, -6993, -6993, -5555, -239, 514, -1440, -1188, -433, 1408, -280, -914, 1829, 14935, 24445, -21701, -15536, 23754, -360, 8375, 7898, 7995, 7995, 23526, 24405, 19898, 14976, 10483, 6813, 4394, 1969, -717, -4017, -4017, -9077, -9410, -7658, -5732, -5134, -5783, -5345, -4841, -6025, -7573, -6530, -4261, -1806, 210, 1171, 1721, 1756, 1133, 570]","[-24904, -15536, -15536, -15536, -15536, -15536, -15536, -15536, 16461, 16461, 3883, 660, -2099, -4745, -9581, -15729, -24858, -29515, 31835, 30924, -26963, -28051, 30663, -31624, 29331, 28495, -29639, -18028, -1979, -1979, 18907, 12535, 6419, 3140, 83, -2354, -1368, 1324, 2705, 3173, 3173, 4380, 3286, 3451, 4029, 4487, 5006, 5995, 6039, 4615, 2502, 1406, 973, 1109, 1440, 872, 337, 277, -90, -930]","[-32618, -24715, -27080, 27013, 17314, 10010, 10010, 10010, -1037, -1037, -3341, -1281, 1597, 1243, -164, -3765, -9160, -17754, -27263, 30414, 20261, 27944, 24376, 28916, 31226, 26789, 31408, -23293, -7013, -7013, 10382, 11166, 11456, 9234, 5349, 3503, 2128, 1147, 2020, 2047, 2047, 1557, 2148, 3195, 3433, 3524, 3881, 3523, 2148, 604, 90, 277, 331, 99, -520, -817, -1330, -1739, -1586, -1344]"
logout,"[-2000, -2104, -2596, -3669, -5231, -5633, -5091, -5091, -5091, -2702, -2702, -1510, -1119, -818, -341, -851, -1695, -2492, -3107, -3730, -4622, -5491, -6124, -6922, -6164, -5224, -5436, -5259, -4805, -4416, -3058, -2039, -2035, -1719, -1321, -845, -898, -1467, -1528, -2222, -3821, -5272, -7626, -7848, -7848, -7579, -5759, -3536, -3060, -1783, -1226, -1257, -1284, -1231, -1388, -1361, -1224, -1192, -1106, -972]","[2550, 3829, 4249, 3600, 2570, 1235, 211, 211, 211, -652, -652, -1174, -1831, -2339, -3135, -3304, -2119, -1264, -818, -448, -374, -21, -309, 835, 2738, 2493, 3742, 3273, 1756, 997, 67, -284, 124, -341, -942, -1551, -2812, -3281, -3293, -3700, -2706, -1461, -1841, 296, 876, 584, 1501, 3007, 1650, 1324, 1512, 1251, 813, 616, 536, 68, -57, -130, -175, -47]","[-280, -348, -778, -1281, -974, -1195, -1288, -1288, -1288, -354, -354, -11, -317, -929, -1901, -1824, -1554, -1248, -957, -712, -578, -462, -317, 1073, 1278, 1381, 1999, 955, -71, -571, -1570, -1712, -1436, -1974, -1574, -484, 637, 1042, 187, -209, -47, 177, -514, -1749, -1797, -1219, -1733, -1626, -434, -773, -485, 55, 124, -36, -25, -13, 0, 114, 84, -5]","[11127, 11154, 31424, 8760, -6868, -13231, -12743, -12743, -12743, -11558, -11558, -1847, 3773, -1483, -10202, -6068, -3044, -5870, -6581, -6065, -9427, -17928, 30297, -7820, -13672, -10103, -5615, -29915, -28336, 30558, -32728, -19569, -20259, -19490, -10518, -24379, -30571, -22174, -30570, -25464, -7135, 2073, 16620, 28508, 8940, 5635, 15628, 5510, 1208, 11261, 10798, 6723, 5772, 8510, 2435, -4893, -2842, -3074, -3778, -4370]","[-5926, 4794, 6364, 20960, 28583, 20166, 16876, 16876, 16876, 4368, 4368, -4376, -10466, -13231, -468, 18451, 31540, -24011, -17455, -15536, -15536, -15536, -15536, -15536, -24658, -23422, -31508, 12724, 6924, -7295, -18526, -16127, -17734, -26519, -17438, -12724, -13751, -27057, 30562, -25801, -14683, -13591, -15860, -23293, -24752, -21040, -21887, -6997, -3949, -7031, 6414, 10551, 8441, 8496, 9369, 9060, 8886, 9494, 6628, 4986]","[-20493, 1948, 28122, -26041, -20171, -15536, -15536, -15536, -15536, -21131, -21131, -30619, 32033, 26375, 12190, -10225, -28287, 27478, 25569, 24266, 24337, 25363, 30086, -28713, -6425, 3273, 15631, 30066, -26911, -23020, -23110, -25782, -30292, -27474, -28827, 23993, 11442, -4426, -21207, 19904, 15535, 15535, 15535, 15535, 15535, 15535, 15535, 29709, -17932, -5015, -294, 5975, 12511, 18558, 23120, 22185, 21947, 19666, 12135, 8420]"
