gesture,ax,ay,az,gx,gy,gz
basket,"[-3060, -3060, -3060, -3060, -3060, -3060, -3060, -2576, -2593, -2435, -2495, -2161, -1799, -1756, -1502, -1226, -851, -700, -606, -669, -700, -373, -66, -463, 170, 214, 36, -300, -987, -4445, -6862, -4514, -981, -68, 193, 392, 753, 630, 579, 433, 428, 427, 490, 462, 434, 532, 469, 572, 499, 461, 356, 379, 188, 45, -173, -468, -564, -736, -1091, -1449]","[-2262, -2262, -2262, -2262, -2262, -2262, -2262, 2787, 2871, 1520, 1884, 1179, 1041, 1327, 996, 904, 1076, 651, 504, 205, 47, -142, -533, -1182, -1815, -2037, -2051, -1667, -1769, -2259, 521, 999, 703, 1464, 58, -653, -226, 291, 127, 69, 146, 134, -6, -61, -68, 35, -35, -135, -211, -174, -166, -142, -166, -98, 74, 15, 126, 190, 409, 645]","[-2456, -2456, -2456, -2456, -2456, -2456, -2456, 1140, 1481, 933, 772, 315, -119, -251, -271, -129, 60, -46, 108, -188, -479, -1005, -1436, -1921, -2904, -3290, -3535, -3043, -2687, -3103, 1310, 2525, 1917, 907, 490, 750, 764, 958, 919, 921, 825, 628, 588, 589, 404, 356, 391, 318, 371, 502, 498, 419, 441, 473, 775, 845, 653, 601, 671, 451]","[-2447, -2447, -2447, -2447, -2447, -2447, -2447, 11406, -2502, -5288, -6569, -9768, -4099, -5150, -5774, -5925, -6757, -6471, -9737, -8341, -7116, -7313, -5115, -2333, 676, 3418, 2618, -1330, -15416, -5952, 7759, -13710, 10779, 2967, -8074, -4417, 1632, 1110, 51, 466, 435, -656, -1367, -1139, -719, -110, -1068, -497, 758, 1157, 1396, 3616, 4979, 6419, 6285, 7109, 9591, 11495, 11876, 11558]","[-13168, -13168, -13168, -13168, -13168, -13168, -13168, -7159, 2976, -4989, -9417, -13344, -15163, -14603, -14921, -15459, -16665, -15766, -16119, -17027, -17148, -17742, -13565, -12827, -9590, 601, 12086, 23316, 25000, 25000, 25000, 19470, -9727, -10309, -6169, -7180, -3971, -110, -458, 124, 479, -223, -199, 207, -283, 1436, 2567, 3926, 6527, 8037, 7206, 7073, 8984, 9398, 10979, 10532, 7742, 10532, 11311, 10949]","[2277, 2277, 2277, 2277, 2277, 2277, 2277, 17456, 8628, 10918, 13376, 14543, 15699, 17037, 18070, 18523, 18723, 19775, 18649, 17712, 16365, 14128, 10866, 7982, 2768, -3170, -11243, -17655, -24273, -25000, -13187, -13379, 5574, 7342, 6648, 4673, 3700, 3250, 4542, 4246, 3107, 3481, 3985, 3128, 2749, 2959, 3060, 2555, 2034, 173, -662, -778, -1632, -3231, -4526, -5258, -6935, -9461, -11130, -12069]"
bowling,"[-2202, -3449, -4235, -5671, -6432, -6432, -6408, -5776, -4637, -3648, -3034, -2276, -1665, -1310, -1050, -701, -364, -199, -109, -81, -386, -843, -1365, -2210, -2946, -4049, -5507, -5826, -5630, -5763, -4916, -4105, -3268, -2291, -1710, -1283, -928, -696, -502, -342, -186, -12, 76, 136, 95, 127, 254, 53, -7, -116, -701, -747, -1207, -1455, -1680, -1949, -2155, -2356, -2049, -1434]","[-1036, -1656, -2203, -2141, -2046, -2046, -1926, -1521, -1511, -1263, -987, -1008, -1061, -999, -716, -534, -367, -279, -222, -162, -314, -523, -622, -696, -1119, -1454, -1630, -1718, -1803, -1883, -1512, -1016, -704, -624, -419, -253, -253, -198, -234, -266, -159, -66, -51, 3, -1, 1, -73, -177, -88, 385, 528, 535, 962, 985, 784, 580, 385, 283, 378, 585]","[2115, 1356, 61, -952, -2400, -2400, -3899, -4225, -3923, -3119, -2590, -1953, -1342, -1007, -971, -1070, -1274, -1390, -1560, -1607, -1478, -1190, -1251, -1390, -1911, -2577, -3133, -3703, -4921, -5348, -4633, -3827, -2527, -1433, -849, -416, -121, 81, 258, 304, 353, 357, 354, 391, 361, 289, 63, -263, -600, -945, -894, -696, -931, -813, -616, -1072, -1406, -1729, -1661, -1587]","[-2545, -862, 5787, 13126, 14635, 14635, 19027, 20598, 21159, 18974, 16376, 14848, 13281, 9614, 4105, 466, 302, 334, 994, -77, 193, -807, -2133, -2307, -2220, -809, -3857, -6111, -10902, -12678, -8572, -9260, -8017, -5698, -4524, -4779, -5231, -5916, -5463, -4185, -2647, -1553, -782, 173, 658, 959, 1568, 3402, 5969, 7796, 6504, 4781, 3787, 2155, -252, 7303, 14172, 14937, 12656, 9220]","[-17959, -25000, -25000, -25000, -25000, -25000, -20889, -17405, -19718, -16871, -16388, -16478, -17915, -19173, -19613, -18675, -15450, -9663, -6440, 1180, 8373, 13176, 18223, 23934, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 22237, 17516, 12212, 8042, 5493, 3508, 1522, 257, -931, -1740, -2618, -4650, -7478, -9862, -10980, -11738, -11716, -11294, -12495, -13740, -13548, -14329, -14165, -15878, -14584, -13114, -9555]","[-5481, -8085, -11238, -13349, -12959, -12959, -12157, -5748, 1723, 5203, 8375, 11375, 12101, 10037, 6189, 2720, 1165, 324, -180, -434, -827, -3212, -5684, -8509, -8263, -11935, -15311, -15584, -17517, -16109, -10256, -8350, -5680, -3807, -3273, -2607, -1777, -1715, -1635, -1861, -1980, -2174, -2771, -3676, -4478, -5098, -5858, -7489, -8165, -9620, -10463, -11671, -14851, -13920, -15627, -14519, -8867, -6718, -6716, -6958]"
bowling,"[1339, -284, -1604, -970, -603, -852, -793, -793, -793, 0, -1040, -1135, -1135, -1410, -1542, -1724, -2191, -2735, -3355, -4032, -4289, -4090, -3484, -2676, -1971, -1328, -826, -346, 165, 318, 473, 459, 148, -136, -569, -1028, -1508, -1813, -2385, -3021, -3295, -3233, -3054, -2722, -2371, -1774, -1593, -1502, -1271, -1178, -1170, -1145, -1065, -1072, -1057, -993, -907, -856, -924, -975]","[-2392, 1362, 297, -453, -448, -481, -238, -238, -238, 0, -78, -71, -71, 594, 1041, 1421, 1993, 2059, 1749, 1202, 805, 59, -735, -567, -730, -716, -942, -857, -996, -1401, -1431, -1288, -1068, -913, -799, -691, -467, -92, 98, 479, 954, 1284, 1576, 1505, 1665, 1339, 1257, 1031, 699, 554, 289, -2, 37, 57, -53, -9, 75, 52, 36, -7]","[5920, -1227, 259, 132, 261, 236, 166, 166, 166, 0, 182, 165, 165, -80, -247, -618, -778, -1003, -887, -456, -33, 116, 352, 387, 384, 422, 393, 308, 476, 606, 468, 401, 492, 403, 361, 296, 223, 107, 239, 224, -49, -230, -258, -289, -290, -520, -254, -111, -165, -86, -48, -108, -52, 44, -7, -47, -53, -61, -115, -111]","[25000, 2193, -7390, -2484, -5341, -3820, -215, -215, -215, 0, -3376, -2658, -2658, -214, 2195, 4486, 6778, 6086, 4332, 1347, -1791, -5359, -2504, -173, 88, -499, 53, 1799, 1306, 188, -726, -597, -601, -950, -1833, -2518, -2252, -1718, -2278, -2754, -3202, -2437, -2350, -1546, -2503, -1902, -204, 11, 209, -404, -1754, -1668, 145, 809, 1565, 1839, 1570, 965, 624, 839]","[-13935, 7906, 101, 1349, -768, -379, -64, -64, -64, 0, -1432, -1565, -1565, -598, -769, -547, 2220, 5545, 9701, 12340, 13369, 11756, 9737, 8573, 7232, 6906, 5185, 4128, 3554, 1781, -952, -1358, -2257, -3943, -4709, -6441, -7457, -7443, -6517, -7435, -7018, -5296, -4209, -3690, -3347, -2295, -77, -137, -413, 390, 520, 358, 1063, 1253, 969, 1451, 2689, 3848, 4824, 5910]","[-12469, -3080, 3514, 1796, -1094, -2249, -3256, -3256, -3256, 0, -5079, -4987, -4987, -4686, -3090, -623, 3584, 9338, 13583, 17014, 20390, 22870, 21805, 19677, 18269, 16515, 13447, 11033, 9050, 5957, 809, -2478, -5501, -7847, -10011, -12705, -15640, -17223, -18603, -19434, -19537, -17984, -15899, -13525, -10400, -8153, -5697, -2999, -1146, 587, 2126, 2489, 2101, 3088, 3176, 2546, 2397, 2117, 1395, 978]"
