ax,ay,az,gx,gy,gz
"[63772, 64412, 63339, 62560, 61612, 62682, 62883, 63573, 64043, 63978, 63857, 63603, 63379, 63631, 63795, 64260, 64948, 65350, 34, 384, 261, 64, 65437, 65, 64293, 61612, 63507, 65205, 381, 407, 428, 280, 332, 255, 79, 363, 170, 571, 356, 799, 992, 885, 795, 615, 217, 336, 192, 45, 65008, 63892, 64520, 63793, 64069, 64625, 64682, 64736, 64746, 64804, 64663, 64709]","[63792, 63718, 64004, 64684, 2574, 1854, 2475, 1698, 861, 1356, 1716, 1843, 1536, 1153, 695, 240, 7, 65318, 65071, 64641, 64397, 63949, 63686, 63724, 64729, 65026, 1380, 681, 4, 0, 83, 27, 229, 227, 263, 78, 23, 91, 65409, 65271, 65303, 65135, 161, 65226, 372, 379, 456, 666, 466, 1578, 465, 1237, 1672, 1363, 737, 198, 287, 325, 384, 449]","[62773, 62353, 63683, 64936, 2158, 2482, 3004, 2286, 1924, 1932, 1427, 1111, 594, 65513, 65264, 64860, 64749, 64689, 64457, 64061, 64115, 63888, 63806, 63614, 64596, 958, 3059, 686, 439, 712, 484, 811, 693, 752, 745, 612, 688, 299, 349, 65368, 121, 65346, 71, 331, 269, 491, 754, 1014, 942, 1331, 719, 766, 832, 703, 337, 206, 244, 236, 417, 350]","[2047, 7676, 60477, 1120, 16364, 49868, 6916, 2354, 9801, 5691, 64512, 59401, 55199, 44930, 45520, 52167, 52385, 59878, 62944, 63977, 65247, 1556, 62756, 59015, 48214, 58043, 1906, 59725, 64278, 309, 64133, 4838, 594, 1004, 775, 1477, 4025, 7906, 4260, 11613, 8542, 15233, 14103, 9936, 14893, 799, 3588, 60635, 4508, 7897, 62301, 12045, 6192, 15668, 3477, 5496, 2632, 62495, 65232, 542]","[40536, 14366, 25000, 25000, 25000, 25000, 24109, 57585, 57482, 52820, 51448, 50793, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40667, 52996, 62032, 14756, 25000, 25000, 25000, 8080, 44846, 61597, 56747, 63747, 192, 61426, 61478, 54757, 56160, 55195, 52583, 52490, 53671, 13, 2206, 10119, 13751, 12903, 17404, 22004, 22722, 25000, 18203, 62065, 15444, 5147, 65255, 1729, 4541, 1381, 230, 64291, 63851]","[25000, 55945, 40536, 40536, 40536, 44271, 48959, 10824, 14576, 12202, 16846, 22422, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 15227, 5024, 53795, 40536, 40536, 40536, 62814, 2748, 6387, 5275, 2766, 2652, 3057, 5838, 10066, 11709, 10585, 12264, 13262, 8189, 5339, 60929, 55488, 45693, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 52407, 64001, 3535, 5723, 341, 63660, 63229, 63840]"
"[61612, 61612, 61612, 61612, 61612, 61612, 62333, 63228, 64511, 64876, 65153, 65426, 65450, 35, 7, 65255, 65010, 64392, 63247, 62230, 61612, 61612, 61612, 61612, 61612, 61612, 61710, 62785, 63392, 64223, 64565, 64969, 65314, 65254, 65370, 65458, 65463, 42, 139, 259, 273, 218, 237, 145, 164, 104, 14, 65338, 65183, 64853, 64842, 64329, 64088, 63860, 63513, 63719, 63586, 63511, 63830, 64283]","[65471, 65032, 65021, 93, 65225, 65126, 65278, 65208, 65291, 65370, 65248, 65478, 65263, 65393, 65212, 65483, 144, 253, 100, 333, 61, 565, 261, 249, 206, 60, 65506, 22, 65394, 178, 125, 182, 314, 431, 377, 413, 413, 334, 341, 190, 258, 167, 90, 172, 19, 6, 65524, 9, 25, 65380, 304, 65267, 205, 292, 65425, 400, 113, 196, 133, 180]","[64483, 63438, 62919, 63016, 64033, 64318, 64453, 64336, 64531, 64662, 65058, 65054, 64971, 64701, 64674, 64745, 64749, 64700, 64449, 64554, 64429, 64544, 64438, 64418, 64257, 64386, 64531, 64614, 65028, 65183, 1, 199, 299, 924, 1105, 1161, 1339, 1372, 1203, 907, 816, 786, 649, 611, 392, 199, 23, 65227, 65102, 64481, 64384, 64331, 64104, 64253, 64035, 63991, 64308, 64355, 64367, 64512]","[9054, 2588, 63443, 60728, 2993, 14051, 13763, 11783, 8703, 64593, 8616, 3087, 2115, 61765, 59893, 57631, 52977, 52746, 54509, 61445, 1549, 11172, 7132, 9121, 5673, 3427, 383, 63211, 3, 1782, 63699, 65297, 4900, 60925, 62015, 1187, 64949, 205, 2400, 3192, 3340, 2884, 4770, 2949, 2665, 3942, 1377, 64304, 62779, 1358, 63553, 56923, 5140, 56246, 797, 2129, 57525, 1557, 1045, 64486]","[40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 50119, 57358, 57387, 58261, 60335, 4692, 12985, 19695, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 20846, 12152, 7135, 65471, 59029, 55360, 54306, 52002, 49343, 46165, 41367, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40703, 40536, 41331, 47150]","[13567, 14342, 7824, 65028, 7673, 7895, 11293, 13698, 12910, 7459, 3064, 5629, 1834, 743, 61479, 56512, 54722, 57681, 61881, 61399, 62514, 57615, 56805, 53710, 51137, 50894, 51383, 52464, 54379, 56318, 57297, 61200, 61004, 56793, 57897, 64756, 64655, 1924, 4472, 4856, 4028, 3907, 3886, 3917, 4879, 5750, 3817, 2581, 2558, 493, 2210, 60438, 65276, 63963, 61465, 1149, 59989, 62646, 610, 62471]"
"[1884, 892, 980, 758, 664, 560, 417, 418, 217, 30, 64906, 64593, 64686, 64993, 65234, 65384, 65265, 65361, 65516, 34, 65508, 52, 65499, 11, 69, 59, 121, 33, 188, 105, 105, 128, 90, 139, 142, 136, 186, 149, 158, 161, 138, 166, 135, 143, 153, 132, 155, 147, 132, 165, 129, 167, 146, 161, 154, 168, 146, 166, 151, 160]","[64915, 64448, 72, 683, 1, 65300, 65382, 65419, 163, 344, 710, 976, 796, 1281, 1460, 1515, 927, 886, 883, 898, 1001, 883, 960, 992, 881, 1060, 895, 1059, 953, 1038, 999, 950, 984, 930, 918, 925, 928, 1009, 963, 972, 990, 923, 996, 977, 975, 995, 972, 964, 962, 938, 962, 947, 965, 965, 970, 959, 963, 953, 966, 938]","[2572, 3418, 583, 798, 800, 1133, 1154, 678, 516, 276, 452, 336, 65466, 65370, 65407, 137, 264, 213, 40, 65495, 65472, 65462, 65433, 65471, 65383, 65446, 65360, 65477, 65422, 65460, 65517, 65425, 65475, 65493, 65443, 3, 65462, 65480, 65455, 65441, 65517, 65435, 65471, 65494, 65417, 65504, 65421, 65448, 65500, 65416, 65492, 65428, 65460, 65428, 65453, 65423, 65441, 65437, 65434, 65471]","[10254, 25000, 40536, 58729, 62929, 3825, 8104, 9913, 25000, 25000, 25000, 6659, 15913, 20274, 10264, 2798, 1435, 2135, 2976, 2924, 4602, 1837, 2054, 64251, 560, 713, 65498, 469, 63741, 143, 64551, 35, 64742, 515, 64741, 65530, 1145, 785, 228, 998, 65147, 579, 65060, 433, 65428, 552, 393, 255, 132, 222, 135, 273, 231, 186, 213, 86, 65392, 148, 65535, 107]","[16452, 65128, 49566, 60773, 55249, 56086, 50777, 51062, 57692, 61671, 3170, 57768, 60675, 61932, 1205, 3715, 1376, 64468, 63411, 620, 64813, 65481, 628, 65048, 64930, 65117, 65224, 81, 64982, 521, 65089, 64987, 749, 64859, 739, 65128, 65246, 65297, 65120, 235, 65450, 64972, 470, 64925, 73, 65314, 65173, 328, 65276, 65270, 19, 64840, 216, 65258, 65379, 65383, 92, 65333, 278, 136]","[5424, 13711, 53283, 778, 7094, 8218, 4553, 63412, 58592, 56230, 49893, 44519, 50615, 59992, 59770, 1315, 4724, 4325, 4407, 2855, 3143, 2829, 1046, 1421, 765, 1112, 1122, 158, 1245, 197, 1532, 896, 791, 1807, 720, 858, 304, 65277, 65454, 65240, 65489, 65530, 64902, 193, 65335, 477, 311, 386, 398, 334, 65421, 388, 65323, 47, 48, 131, 65468, 190, 40, 228]"
"[65097, 64577, 63356, 62717, 62221, 61612, 62292, 62628, 63303, 63807, 64203, 64205, 64187, 64084, 64013, 63709, 63411, 63357, 63087, 63313, 63386, 63763, 64011, 64414, 64766, 65055, 65425, 65489, 65533, 189, 157, 121, 204, 77, 114, 144, 88, 122, 35, 75, 31, 103, 32, 61, 69, 34, 82, 46, 6, 3, 13, 65511, 65477, 5, 65430, 65295, 65447, 65248, 65244, 65222]","[63443, 63463, 64358, 64930, 70, 819, 2135, 1267, 1140, 901, 572, 1018, 434, 524, 793, 541, 678, 422, 663, 320, 42, 29, 65524, 65194, 65041, 64874, 65228, 254, 243, 363, 424, 560, 842, 751, 789, 888, 834, 902, 1014, 978, 962, 911, 798, 950, 880, 913, 844, 859, 800, 735, 713, 656, 526, 599, 529, 1013, 827, 858, 1016, 895]","[542, 397, 65396, 65464, 64647, 64209, 63861, 64484, 64950, 64759, 64943, 65036, 65024, 64993, 64737, 64976, 64958, 64791, 64740, 64782, 65144, 65083, 65249, 65431, 63, 104, 65531, 65421, 11, 65262, 65397, 65182, 65035, 65194, 65077, 65152, 65144, 65112, 65123, 65108, 65091, 65108, 65162, 65081, 65064, 65101, 65065, 65033, 65025, 65066, 65141, 65210, 65083, 65024, 65033, 65039, 64862, 64993, 64983, 64951]","[57689, 63996, 7600, 7032, 6903, 10539, 62825, 63962, 4889, 7907, 7337, 4734, 1090, 4557, 65231, 63369, 63426, 61938, 63868, 59646, 60412, 63672, 62376, 59851, 57009, 62963, 2522, 2391, 62692, 304, 64171, 3256, 450, 63348, 64896, 38, 1133, 952, 653, 64593, 65029, 64382, 991, 2484, 768, 196, 64445, 1277, 708, 2084, 65321, 64706, 64121, 379, 63919, 3946, 131, 1474, 63555, 92]","[60721, 63062, 63220, 57058, 56047, 56307, 54435, 62806, 62010, 59114, 59668, 64375, 1808, 4098, 3577, 8108, 8186, 10901, 10177, 11523, 13245, 10090, 11713, 7234, 5973, 2362, 1783, 3426, 1091, 64991, 1512, 158, 1026, 791, 63808, 294, 65174, 65531, 65263, 64770, 65025, 712, 65113, 64520, 849, 1196, 569, 461, 381, 292, 122, 342, 64495, 64980, 65038, 62597, 64546, 64600, 63056, 61929]","[52326, 40652, 40536, 40536, 40536, 40536, 40536, 40536, 46166, 49905, 62736, 65080, 6304, 8233, 16697, 17550, 20258, 21606, 22772, 25000, 22042, 25000, 22219, 20326, 14049, 11819, 8343, 5628, 3553, 3374, 218, 64629, 194, 63647, 64453, 64241, 63695, 63611, 64072, 65178, 64452, 65304, 64789, 65340, 64339, 63917, 64291, 64268, 64911, 64489, 64175, 63610, 63636, 61691, 59406, 60239, 61822, 59263, 61042, 61227]"
"[61612, 61612, 61612, 61612, 61923, 62992, 64120, 65097, 65148, 65363, 66, 0, 65382, 65329, 65117, 65162, 64958, 64963, 64744, 64349, 63699, 61638, 61612, 63727, 264, 565, 496, 438, 554, 426, 620, 465, 551, 400, 405, 326, 77, 206, 90, 65493, 65269, 65388, 64681, 64999, 64346, 64379, 63964, 64333, 63842, 63913, 64486, 64196, 64403, 64772, 64550, 64523, 64585, 64569, 64631, 64580]","[2332, 2536, 1398, 737, 217, 65259, 65196, 65319, 65186, 65042, 65173, 64978, 64971, 64984, 64852, 64787, 64871, 64885, 65068, 64560, 64462, 64987, 1454, 2716, 2621, 65515, 18, 756, 6, 395, 75, 227, 217, 298, 72, 65351, 65501, 271, 65405, 233, 157, 282, 551, 778, 868, 850, 1237, 1159, 770, 1054, 1257, 574, 1529, 1248, 524, 632, 547, 249, 110, 32]","[1524, 996, 65402, 64480, 64188, 64086, 63779, 63555, 63774, 63955, 64203, 64435, 64411, 64142, 63904, 63748, 63671, 63434, 63060, 62643, 61907, 63392, 1772, 3924, 1780, 1113, 1330, 1228, 935, 994, 860, 765, 720, 756, 516, 564, 382, 140, 173, 133, 266, 353, 529, 380, 421, 724, 578, 731, 786, 128, 65403, 273, 65433, 65517, 6, 111, 96, 120, 57, 96]","[2562, 849, 47283, 48379, 40536, 40536, 45755, 49724, 49945, 58434, 61656, 58773, 63669, 1313, 4879, 7411, 10457, 13224, 16973, 10724, 15090, 52224, 19493, 44082, 20231, 52750, 910, 61011, 64852, 2022, 64502, 1770, 65021, 64670, 64449, 2023, 13959, 6331, 2129, 8586, 3702, 12422, 5706, 13634, 4403, 10316, 9334, 7930, 11411, 23818, 15976, 20246, 25000, 15736, 7486, 9252, 2201, 62952, 62589, 61642]","[41769, 40536, 40536, 40536, 40536, 40536, 40536, 43588, 53898, 56487, 62874, 1281, 59550, 54480, 49351, 48661, 48240, 50385, 55220, 6063, 25000, 25000, 25000, 25000, 50561, 7050, 3077, 2947, 1138, 1821, 64900, 1130, 65532, 1171, 1439, 2268, 65157, 1474, 5178, 10542, 14864, 16818, 16418, 13176, 16977, 14365, 8486, 9793, 4243, 61465, 62551, 2569, 60337, 628, 5822, 4794, 1374, 64178, 62804, 63540]","[25000, 25000, 25000, 25000, 25000, 25000, 25000, 24770, 21121, 15676, 13395, 9203, 4358, 2002, 63918, 57647, 49996, 42333, 40536, 40536, 40536, 40536, 40536, 41148, 64213, 9147, 65074, 2410, 614, 1945, 1882, 604, 1906, 2189, 4232, 2638, 62551, 65096, 62157, 57421, 56868, 52456, 47580, 48097, 42072, 44771, 41576, 43903, 41473, 43231, 47662, 46252, 53989, 61407, 63476, 63922, 1885, 2844, 2835, 1579]"
"[62684, 61776, 62154, 62712, 64232, 64324, 339, 430, 902, 687, 646, 625, 752, 633, 777, 743, 670, 696, 713, 703, 727, 720, 713, 673, 743, 673, 713, 679, 750, 686, 562, 292, 7, 65303, 65049, 64836, 64457, 63786, 64637, 63711, 63607, 63355, 63522, 64120, 64490, 64437, 64419, 64502, 64584, 64686, 64637, 64578, 64515, 64598, 64566, 64519, 64528, 64547, 64553, 64530]","[440, 161, 65351, 299, 56, 380, 65438, 715, 533, 673, 787, 744, 539, 762, 756, 545, 585, 553, 610, 683, 669, 605, 621, 648, 603, 690, 660, 682, 626, 639, 671, 682, 506, 383, 409, 312, 523, 65453, 942, 65526, 177, 450, 728, 1100, 830, 343, 247, 345, 457, 475, 446, 391, 355, 180, 89, 103, 48, 114, 71, 78]","[61862, 62209, 64632, 969, 1296, 2050, 464, 65248, 64741, 65165, 65375, 65314, 65151, 65356, 65247, 65185, 65332, 65333, 65276, 65241, 65231, 65254, 65192, 65294, 65248, 65218, 65296, 65240, 65235, 65271, 65468, 365, 549, 404, 116, 65242, 65127, 64397, 63981, 64698, 64478, 64620, 64654, 64758, 64897, 65179, 65355, 65494, 65502, 65407, 65376, 65358, 62, 14, 65518, 3, 65515, 19, 65523, 65527]","[65354, 62593, 57347, 62323, 61654, 61072, 55614, 218, 64969, 2394, 2352, 1908, 61902, 193, 63243, 824, 64585, 2086, 64636, 463, 64803, 1390, 65346, 803, 386, 1090, 65438, 65235, 65319, 64416, 64708, 63608, 65150, 65215, 64982, 2818, 64506, 65430, 4329, 43028, 61574, 60986, 57139, 50249, 53975, 1657, 10667, 9679, 4981, 65324, 63023, 61465, 62677, 61450, 63024, 62886, 62749, 63908, 63254, 63752]","[25000, 25000, 25000, 25000, 25000, 16985, 975, 63677, 442, 2864, 2615, 1235, 1679, 1848, 65157, 1171, 568, 413, 65083, 65256, 65265, 65228, 65325, 78, 65084, 65242, 65074, 64558, 64767, 64558, 64075, 60615, 53005, 45374, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 40536, 42238, 54071, 64375, 6142, 7500, 6435, 947, 64712, 6, 1770, 512, 748, 952, 1726, 2097, 1636, 1007, 592]","[12108, 2487, 62521, 64652, 615, 2473, 65134, 527, 1118, 972, 622, 1679, 64109, 64523, 1023, 572, 584, 347, 65076, 65197, 65505, 160, 65444, 48, 65410, 65458, 160, 627, 243, 67, 65147, 64984, 625, 64884, 63668, 62615, 60911, 57834, 62313, 53253, 43630, 41037, 40536, 40536, 54799, 144, 1640, 63863, 61868, 63290, 64743, 1342, 4701, 6480, 5162, 4060, 2821, 2717, 2434, 2226]"
"[64149, 63499, 62796, 62622, 62860, 63273, 64039, 64686, 65215, 65399, 63, 65344, 65299, 65065, 64800, 64408, 64592, 63707, 64291, 63933, 64080, 64177, 64089, 64257, 64368, 64634, 64800, 64967, 65240, 65269, 65328, 65294, 65023, 64612, 64246, 63322, 62876, 62369, 63537, 63901, 64360, 64406, 64740, 64781, 64817, 64798, 64708, 64673, 64746, 64726, 64649, 64615, 64552, 64468, 64523, 64442, 64556, 64399, 64544, 64534]","[3265, 3078, 2379, 1589, 936, 257, 65095, 64639, 64654, 64686, 64782, 65097, 65535, 65298, 313, 935, 755, 1681, 1996, 2849, 3156, 2392, 2092, 1177, 758, 362, 63, 65328, 65239, 64894, 65067, 65344, 65299, 65358, 57, 445, 547, 1888, 2167, 2240, 1542, 1647, 1489, 948, 1002, 330, 488, 280, 87, 174, 173, 151, 195, 308, 411, 457, 523, 569, 495, 454]","[930, 499, 113, 64972, 64794, 64865, 64890, 64954, 65160, 65212, 65203, 65201, 65280, 65296, 163, 2, 99, 386, 626, 1524, 2089, 2030, 1791, 1382, 1051, 545, 423, 275, 149, 195, 183, 235, 369, 283, 252, 425, 65380, 65121, 64819, 64976, 65374, 52, 65388, 65498, 22, 101, 334, 243, 6, 4, 86, 51, 119, 105, 73, 197, 195, 484, 430, 543]","[20312, 7707, 11574, 10461, 3585, 61992, 60509, 60479, 63434, 61092, 59823, 61066, 61313, 53055, 5792, 58882, 3476, 3502, 482, 3666, 2994, 64597, 64867, 62595, 4319, 6746, 64059, 59785, 54106, 53394, 60130, 57857, 51188, 54606, 60241, 364, 1844, 10132, 54128, 2830, 2955, 3717, 5580, 5660, 4676, 62472, 231, 936, 2036, 1948, 63177, 60774, 62259, 65189, 65048, 294, 64954, 1091, 63326, 138]","[53320, 58774, 59265, 62067, 2401, 6844, 6531, 6437, 7334, 7802, 10197, 13325, 15200, 21776, 24842, 21830, 25000, 25000, 25000, 25000, 19249, 13856, 3242, 64331, 57165, 53437, 54558, 52312, 53453, 53542, 52773, 53332, 53047, 51611, 51307, 50365, 41635, 46394, 47978, 56545, 62743, 62395, 62451, 543, 65479, 4419, 4886, 1214, 1770, 4789, 5404, 5910, 7358, 6011, 5075, 5812, 5005, 3973, 64845, 63208]","[18720, 25000, 25000, 25000, 25000, 25000, 25000, 25000, 14320, 7477, 205, 60785, 59999, 55085, 54911, 53926, 54539, 55739, 61261, 1000, 13411, 18219, 25000, 24932, 24980, 23050, 17970, 12552, 8020, 904, 59925, 55401, 47771, 40627, 40536, 40536, 40536, 40536, 40536, 46303, 53041, 55362, 62039, 65530, 3125, 572, 64584, 65267, 63658, 61333, 60424, 58710, 57924, 58684, 59782, 61060, 61803, 62417, 64901, 934]"
